artist_name,name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
BTS,Life Goes On,207481,0.566,0.716,1,-5.733,0.0424,0.00691,0,0.37,0.45,81.068
BTS,Fly To My Room,222242,0.764,0.526,11,-7.355,0.212,0.0484,0,0.0718,0.588,114.91
BTS,Blue & Grey,254950,0.547,0.605,8,-6.755,0.0415,0.42,0,0.125,0.364,121.953
BTS,Skit,179547,0.703,0.321,4,-13.135,0.884,0.864,0,0.908,0.544,114.822
BTS,Telepathy,202313,0.787,0.669,5,-4.333,0.0428,0.00782,0,0.123,0.57,104.994
BTS,Dis-ease,239722,0.731,0.845,8,-5.352,0.132,0.0132,0,0.0782,0.484,101.085
BTS,Stay,204800,0.582,0.693,6,-5.048,0.0465,0.114,0,0.13,0.341,125.904
BTS,Dynamite,199053,0.746,0.765,6,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044
BTS,INTRO : Calling,84613,0.486,0.61,10,-12.063,0.0348,0.582,0.791,0.144,0.0806,144.992
BTS,Stay Gold,243266,0.723,0.634,1,-5.415,0.0542,0.0892,0,0.0787,0.582,129.017
BTS,Boy With Luv - Japanese ver.,230013,0.673,0.855,11,-4.65,0.089,0.0661,0,0.209,0.78,119.917
BTS,Make It Right - Japanese ver.,225520,0.571,0.703,7,-7.401,0.468,0.0163,0,0.262,0.238,104.067
BTS,Dionysus - Japanese ver.,248906,0.455,0.893,7,-3.712,0.148,0.0218,0,0.358,0.588,175.992
BTS,IDOL - Japanese ver.,223213,0.705,0.754,6,-5.453,0.0895,0.000331,0,0.129,0.422,126.014
BTS,Airplane pt.2 - Japanese ver.,220053,0.752,0.782,0,-5.173,0.0297,0.04,1.04E-06,0.0841,0.901,139.994
BTS,FAKE LOVE - Japanese ver.,243533,0.546,0.682,2,-5.628,0.039,0.00362,0,0.295,0.433,154.923
BTS,Black Swan - Japanese ver.,198760,0.714,0.736,2,-5.724,0.0819,0.166,0,0.133,0.536,147.037
BTS,ON - Japanese ver.,247986,0.598,0.821,9,-5.653,0.114,0.119,0,0.298,0.428,105.991
BTS,Lights,292853,0.608,0.644,5,-5.588,0.0314,0.156,0,0.124,0.431,99.005
BTS,Your eyes tell,245146,0.449,0.491,9,-6.433,0.029,0.279,0,0.0654,0.258,139.923
BTS,OUTRO : The Journey,76506,0.523,0.455,9,-14.26,0.0632,0.704,0.459,0.135,0.165,136.959
BTS,Intro : Persona,171023,0.469,0.87,9,-4.475,0.342,0.0278,0,0.313,0.652,86.622
BTS,Boy With Luv (Feat. Halsey),229773,0.645,0.862,11,-4.757,0.0965,0.0923,0,0.192,0.798,119.991
BTS,Make It Right,226321,0.638,0.703,7,-7.874,0.444,0.0104,0,0.132,0.261,105.766
BTS,Jamais Vu,227275,0.608,0.47,8,-6.73,0.0428,0.226,0,0.0963,0.241,81
BTS,Dionysus,249215,0.502,0.91,7,-2.769,0.107,0.04,0,0.319,0.588,176.084
BTS,Interlude : Shadow,259821,0.385,0.798,9,-6.439,0.483,0.115,0,0.181,0.141,149.756
BTS,Black Swan,198260,0.719,0.758,2,-5.167,0.0851,0.137,0,0.129,0.49,147.023
BTS,Filter,180220,0.781,0.762,10,-5.188,0.0626,0.0222,0,0.121,0.86,110.042
BTS,My Time,234457,0.674,0.64,0,-5.139,0.0339,0.151,0,0.0925,0.664,99.908
BTS,Louder than bombs,217404,0.643,0.667,0,-6.993,0.152,0.0433,0,0.0904,0.485,145.999
BTS,ON,246380,0.583,0.817,9,-5.146,0.0987,0.118,0,0.338,0.438,105.936
BTS,UGH!,225012,0.72,0.824,10,-5.086,0.128,0.0394,0,0.0509,0.333,165.998
BTS,00:00 (Zero O's lock),250295,0.566,0.548,1,-6.456,0.0579,0.0802,0,0.11,0.196,157.999
BTS,Inner Child,233265,0.589,0.696,11,-7.981,0.0725,0.017,0,0.0808,0.332,134.953
BTS,Friends,199338,0.55,0.747,1,-5.211,0.0407,0.0668,0,0.0536,0.648,79.98
BTS,Moon,208589,0.703,0.646,6,-6.658,0.0596,0.0104,0,0.191,0.64,141.87
BTS,Respect,237540,0.661,0.84,0,-4.805,0.116,0.00485,0,0.287,0.524,91.457
BTS,We are Bulletproof : the Eternal,261542,0.526,0.575,9,-5.215,0.0309,0.225,0,0.108,0.19,84.047
BTS,Outro : Ego,196198,0.808,0.903,0,-3.106,0.0958,0.0121,0.000233,0.0993,0.473,116.988
BTS,ON (Feat. Sia),246816,0.591,0.848,9,-4.397,0.0828,0.137,0,0.372,0.386,105.922
BTS,Intro : Persona,171023,0.469,0.87,9,-4.475,0.342,0.0278,0,0.313,0.652,86.622
