artist_name,album_release_year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_name,album_name,key_mode
Taylor Swift,2023,0.646,0.783,7,-2.846,0.0356,0.00444,1.38E-06,0.171,0.49,121.08,231706,FALSE,Mine (Taylor's Version),Speak Now (Taylor's Version),G major
Taylor Swift,2023,0.588,0.758,5,-2.347,0.0305,0.0251,0,0.131,0.387,114.991,261230,FALSE,Sparks Fly (Taylor Version),Speak Now (Taylor's Version),F major
Taylor Swift,2023,0.497,0.635,2,-3.927,0.0273,0.00621,0,0.117,0.203,142.063,294189,FALSE,Back To December (Taylor's Version),Speak Now (Taylor's Version),D major
Taylor Swift,2023,0.727,0.677,7,-2.871,0.0325,0.248,0,0.143,0.639,118.995,242473,FALSE,Speak Now (Taylor's Version),Speak Now (Taylor's Version),G major
Taylor Swift,2023,0.419,0.47,4,-5.016,0.0296,0.0236,0,0.163,0.133,119.294,405906,FALSE,Dear John (Taylor's Version),Speak Now (Taylor's Version),E major
Taylor Swift,2023,0.524,0.692,4,-3.866,0.0369,0.311,0,0.192,0.621,163.874,238693,FALSE,Mean (Taylor's Version),Speak Now (Taylor's Version),E major
Taylor Swift,2023,0.515,0.781,4,-2.608,0.0535,0.00192,0,0.054,0.57,139.846,267653,FALSE,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),E major
Taylor Swift,2023,0.685,0.323,2,-7.103,0.0289,0.851,0,0.198,0.569,125.058,292920,FALSE,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),D major
Taylor Swift,2023,0.505,0.532,8,-3.526,0.0265,0.012,0,0.149,0.216,81.907,353253,FALSE,Enchanted (Taylor's Version),Speak Now (Taylor's Version),G# major
Taylor Swift,2023,0.496,0.885,11,-2.969,0.0803,0.000886,0,0.191,0.665,145.863,220306,FALSE,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),B minor
Taylor Swift,2023,0.522,0.598,1,-5.327,0.0284,0.101,0,0.152,0.149,133.627,301221,FALSE,Innocent (Taylor's Version),Speak Now (Taylor's Version),C# minor
Taylor Swift,2023,0.427,0.915,5,-1.909,0.0619,0.00667,0,0.221,0.355,162.201,245413,FALSE,Haunted (Taylor's Version),Speak Now (Taylor's Version),F major
