artist_name,album_title,album_release_date,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
BTS,2 Cool 4 Skool,12/06/13,Intro: 2 Cool 4 Skool,51,0.894,0.835,8,-6.249,1,0.245,0.179,0.266,0.179,0.532,94.871,63787
BTS,2 Cool 4 Skool,12/06/13,We Are Bulletproof Pt.2,65,0.753,0.95,8,-5.09,0,0.16,0.0104,6.32E-06,0.134,0.868,144.02,223933
BTS,2 Cool 4 Skool,12/06/13,Skit: Circle Room Talk,44,0.598,0.356,9,-18.009,1,0.802,0.912,0,0.913,0.817,121.045,131907
BTS,2 Cool 4 Skool,12/06/13,No More Dream,66,0.438,0.864,2,-5.185,1,0.47,0.0118,1.66E-06,0.431,0.594,167.898,222067
BTS,2 Cool 4 Skool,12/06/13,Interlude,51,0.914,0.276,1,-13.392,0,0.319,0.494,0.762,0.392,0.854,125.897,52440
BTS,2 Cool 4 Skool,12/06/13,Like,74,0.737,0.723,0,-4.165,0,0.0705,0.303,0,0.26,0.783,100.939,231893
BTS,2 Cool 4 Skool,12/06/13,Outro: Circle Room Cypher,47,0.688,0.515,7,-11.608,1,0.523,0.536,0,0.189,0.852,94.077,323640
BTS,"O!RUL8,2?",11/09/13,"Intro: O!RUL8,2?",51,0.455,0.9,7,-5.029,1,0.393,0.272,0,0.0945,0.188,150.14,70531
BTS,"O!RUL8,2?",11/09/13,N.O,60,0.595,0.914,11,-3.764,0,0.166,0.0389,0,0.457,0.572,146.89,209752
BTS,"O!RUL8,2?",11/09/13,We On,56,0.801,0.797,2,-4.319,0,0.163,0.0405,2.39E-06,0.115,0.801,97.009,230885
BTS,"O!RUL8,2?",11/09/13,Skit: R U Happy Now?,43,0.535,0.382,1,-18.76,1,0.645,0.852,0,0.311,0.609,86.969,148073
BTS,"O!RUL8,2?",11/09/13,If I Ruled the World,56,0.744,0.725,7,-6.29,1,0.112,0.0434,0,0.296,0.729,95.981,247450
BTS,"O!RUL8,2?",11/09/13,Coffee,65,0.656,0.798,0,-6.608,1,0.103,0.00862,0,0.321,0.573,92.031,260433
BTS,"O!RUL8,2?",11/09/13,BTS Cypher Pt.1,53,0.751,0.903,2,-5.413,1,0.354,0.539,0,0.343,0.858,96.548,131192
BTS,"O!RUL8,2?",11/09/13,Attack on Bangtan,61,0.72,0.962,11,-2.555,0,0.268,0.2,0,0.165,0.667,118.025,246526
BTS,"O!RUL8,2?",11/09/13,Paldogangsan,54,0.564,0.945,11,-3.11,0,0.243,0.0789,0,0.0873,0.871,105.018,205061
BTS,"O!RUL8,2?",11/09/13,Outro: Luv in Skool,55,0.693,0.392,5,-6.615,1,0.0439,0.0508,0,0.144,0.472,131.863,86045
BTS,Skool Luv Affair,12/02/14,Intro: Skool Luv Affair,53,0.587,0.82,4,-2.701,0,0.428,0.0601,0,0.0599,0.671,93.841,178282
BTS,Skool Luv Affair,12/02/14,Boy in Luv,68,0.491,0.947,0,-2.252,1,0.306,0.00261,0,0.34,0.474,166.236,230778
BTS,Skool Luv Affair,12/02/14,Skit: Soulmate,45,0.633,0.285,4,-15.35,1,0.841,0.898,0,0.905,0.749,124.219,92791
BTS,Skool Luv Affair,12/02/14,Where You From,55,0.654,0.867,7,-1.772,1,0.313,0.432,0,0.0745,0.919,85.078,240107
BTS,Skool Luv Affair,12/02/14,Just One Day,70,0.685,0.713,6,-4.705,0,0.266,0.179,0,0.377,0.301,95.092,239470
BTS,Skool Luv Affair,12/02/14,Tomorrow,61,0.399,0.887,1,-2.578,0,0.201,0.00946,0,0.281,0.627,128.119,261575
BTS,Skool Luv Affair,12/02/14,BTS Cypher Pt.2: Triptych,57,0.585,0.98,5,-0.826,1,0.37,0.127,0,0.692,0.837,141.945,288771
BTS,Skool Luv Affair,12/02/14,Spine Breaker,64,0.679,0.927,0,-1.058,1,0.15,0.164,0,0.437,0.861,93.989,238530
BTS,Skool Luv Affair,12/02/14,Jump,67,0.495,0.974,7,-0.947,0,0.282,0.0349,0,0.44,0.763,102.077,236489
BTS,Skool Luv Affair,12/02/14,Outro: Propose,56,0.397,0.847,2,-2.488,1,0.159,0.467,0,0.205,0.514,173.733,122514
BTS,Skool Luv Affair (Special Addition),14/05/14,Miss Right,59,0.718,0.835,1,-4.925,1,0.213,0.371,0,0.0764,0.855,92.97,241375
BTS,Skool Luv Affair (Special Addition),14/05/14,Like - Slow Jam Remix,52,0.532,0.673,10,-5.401,1,0.185,0.336,0,0.159,0.653,99.712,232692
BTS,Skool Luv Affair (Special Addition),14/05/14,Intro: Skool Luv Affair,38,0.587,0.82,4,-2.701,0,0.428,0.0601,0,0.0599,0.671,93.841,178282
BTS,Skool Luv Affair (Special Addition),14/05/14,Boy in Luv,47,0.491,0.947,0,-2.252,1,0.306,0.00261,0,0.34,0.474,166.236,230778
BTS,Skool Luv Affair (Special Addition),14/05/14,Skit: Soulmate,36,0.633,0.285,4,-15.35,1,0.841,0.898,0,0.905,0.749,124.219,92791
BTS,Skool Luv Affair (Special Addition),14/05/14,Where You From,40,0.654,0.867,7,-1.772,1,0.313,0.432,0,0.0745,0.919,85.078,240107
BTS,Skool Luv Affair (Special Addition),14/05/14,Just One Day,48,0.685,0.713,6,-4.705,0,0.266,0.179,0,0.377,0.301,95.092,239470
BTS,Skool Luv Affair (Special Addition),14/05/14,Tomorrow,42,0.399,0.887,1,-2.578,0,0.201,0.00946,0,0.281,0.627,128.119,261575
BTS,Skool Luv Affair (Special Addition),14/05/14,BTS Cypher Pt.2: Triptych,40,0.585,0.98,5,-0.826,1,0.37,0.127,0,0.692,0.837,141.945,288771
BTS,Skool Luv Affair (Special Addition),14/05/14,Spine Breaker,44,0.679,0.927,0,-1.058,1,0.15,0.164,0,0.437,0.861,93.989,238530
BTS,Skool Luv Affair (Special Addition),14/05/14,Jump,44,0.495,0.974,7,-0.947,0,0.282,0.0349,0,0.44,0.763,102.077,236489
BTS,Skool Luv Affair (Special Addition),14/05/14,Outro: Propose,43,0.397,0.847,2,-2.488,1,0.159,0.467,0,0.205,0.514,173.733,122514
BTS,Dark & Wild,20/08/14,Intro: What Am I to You,56,0.475,0.899,0,-2.228,1,0.292,0.426,0,0.366,0.568,83.821,165121
BTS,Dark & Wild,20/08/14,Danger,68,0.738,0.868,1,-3.363,1,0.0702,0.000907,0.000209,0.275,0.377,111.991,245140
BTS,Dark & Wild,20/08/14,War of Hormone,64,0.612,0.993,9,-1.895,1,0.24,0.116,0,0.307,0.488,98.004,265602
BTS,Dark & Wild,20/08/14,Hip Hop Phile,59,0.796,0.878,1,-3.325,1,0.185,0.171,0,0.234,0.795,144,257301
BTS,Dark & Wild,20/08/14,Let Me Know,60,0.61,0.829,11,-4.84,0,0.0847,0.0111,0,0.0961,0.156,136.102,254973
BTS,Dark & Wild,20/08/14,Rain,62,0.703,0.851,1,-4.918,0,0.144,0.031,0,0.354,0.315,89.958,264667
BTS,Dark & Wild,20/08/14,BTS Cypher Pt.3: Killer,62,0.793,0.924,4,-3.017,0,0.321,0.0217,0,0.644,0.665,140.031,267783
BTS,Dark & Wild,20/08/14,Interlude: What Are You Doing Now,56,0.783,0.683,4,-5.195,1,0.0895,0.0532,0.772,0.0529,0.55,82.996,41757
BTS,Dark & Wild,20/08/14,Could You Turn off Your Cell Phone,57,0.459,0.856,6,-4.383,0,0.232,0.152,0,0.08,0.917,97.027,234063
BTS,Dark & Wild,20/08/14,Embarrassed,59,0.556,0.897,2,-3.019,1,0.282,0.181,0,0.379,0.551,84.604,241762
BTS,Dark & Wild,20/08/14,24/7=Heaven,59,0.642,0.903,2,-2.976,1,0.117,0.0635,0,0.33,0.573,96.068,226425
BTS,Dark & Wild,20/08/14,Look Here,63,0.863,0.854,4,-4.564,0,0.0893,0.0418,0.00152,0.0551,0.784,119.996,218887
BTS,Dark & Wild,20/08/14,So 4 more,60,0.676,0.925,8,-2.451,1,0.111,0.00405,6.31E-06,0.279,0.798,163.952,235020
BTS,Dark & Wild,20/08/14,Outro: Do You Think It Makes Sense?,58,0.634,0.815,1,-4.324,1,0.0409,0.0714,0,0.146,0.553,103.041,172658
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Intro: The Most Beautiful Moment in Life,53,0.36,0.97,0,-4.422,0,0.535,0.236,0,0.074,0.257,87.12,123033
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,I Need U,70,0.478,0.88,5,-3.097,0,0.0739,0.0213,0,0.24,0.707,158.356,210987
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Hold Me Tight,65,0.622,0.728,6,-5.111,1,0.286,0.0511,0,0.171,0.394,139.994,274992
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Skit: Expectation!,42,0.635,0.167,9,-21.117,0,0.665,0.893,0,0.501,0.712,100.544,147694
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Dope,71,0.595,0.89,10,-3.109,0,0.245,0.0486,0,0.32,0.62,154.071,240021
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Boyz with Fun,66,0.704,0.96,1,-2.606,0,0.192,0.0808,0,0.383,0.751,116.024,244156
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Converse High,62,0.724,0.793,1,-3.982,1,0.0895,0.0597,0,0.201,0.817,98.003,209715
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Moving On,58,0.684,0.914,0,-3.199,1,0.204,0.0128,0,0.0543,0.929,159.996,292569
BTS,The Most Beautiful Moment in Life Pt.1,29/04/15,Outro: Love Is Not Over,56,0.719,0.335,2,-8.085,1,0.06,0.632,0,0.131,0.218,105.062,143863
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Intro: Never Mind,54,0.339,0.949,6,-4.942,0,0.904,0.00765,0,0.329,0.397,79.956,136428
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Run,68,0.554,0.878,11,-3.02,0,0.0513,0.00146,0,0.0998,0.55,132.896,236748
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Butterfly,70,0.461,0.776,6,-4.498,1,0.0565,0.0149,0,0.12,0.291,149.985,238862
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Whalien 52,61,0.585,0.93,10,-2.707,0,0.241,0.0992,2.54E-06,0.345,0.735,90.03,243222
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Ma City,61,0.668,0.967,6,-2.192,0,0.0957,0.000266,0,0.0777,0.807,122.007,256687
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Silver Spoon,72,0.65,0.879,9,-2.886,1,0.073,0.00104,0,0.0483,0.536,166.895,233160
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Skit: One Night in a Strange City,42,0.575,0.499,3,-11.552,1,0.936,0.772,0,0.42,0.667,160.296,263130
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Autumn Leaves,64,0.619,0.804,10,-3.301,0,0.0424,0.0135,0,0.127,0.314,104.978,267151
BTS,The Most Beautiful Moment in Life Pt.2,30/11/15,Outro: House of Cards,57,0.37,0.652,2,-4.717,1,0.0402,0.4,0,0.129,0.265,104.162,177414
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Intro: The Most Beautiful Moment in Life,44,0.494,0.97,7,-3.513,0,0.444,0.205,0,0.0692,0.23,92.56,124739
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,I Need U,54,0.485,0.897,5,-2.383,0,0.0678,0.0184,0,0.296,0.649,78.851,210577
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Hold Me Tight,48,0.64,0.799,6,-4.673,1,0.262,0.0155,4.40E-06,0.218,0.376,139.962,273992
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Autumn Leaves,47,0.625,0.799,10,-3.54,0,0.0427,0.0108,0,0.144,0.316,105.007,267151
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Butterfly - Prologue Mix,56,0.373,0.541,1,-6.451,1,0.0526,0.0446,0.001,0.0909,0.134,69.98,295128
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Run,51,0.577,0.878,6,-2.935,0,0.0442,0.00164,0,0.0892,0.514,132.943,236334
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Ma City,47,0.678,0.97,6,-2.155,0,0.0989,0.000264,0,0.0548,0.783,122.017,256840
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Silver Spoon,53,0.649,0.875,9,-2.88,1,0.0702,0.00128,0,0.0486,0.557,166.925,233185
BTS,The Most Beautiful Moment in Life: Young Forever,02/05/16,Dope,54,0.579,0.896,10,-2.781,0,0.225,0.0272,1.02E-06,0.352,0.678,153.991,240021
